Rating,Entity Name,State,County,City,Sector,Entity Type,Region
62,workNet DuPage,IL,DuPage County,Lisle,Government Facilities,Local Tribal Territory,Region 5
73,the Texas State Securities Board,TX,Travis County,Austin,Government Facilities,State,Region 6
72,the City of Alamosa Alamosa,CO,Alamosa County,Alamosa,"Emergency Services, Government Facilities, Transportation Systems, Water and WasteWater Systems",Local Tribal Territory,Region 8
36,inFORM Decisions,CA,Orange County,Rancho Santa Margarita,Information Technology,Private CI Entity,Region 9
51,iStream Financial Services,WI,Waukesha County,Brookfield,Financial Services,Private CI Entity,Region 5
38,"iShare Medical, LLC",MO,Jackson County,KCMO,Information Technology,Private CI Entity,Region 7
68,iGLASS Networks,NC,Wake County,Cary,Information Technology,Private CI Entity,Region 4
60,"iBio, Inc",TX,Brazos County,Bryan,Healthcare and Public Health,Private CI Entity,Region 6
55,i3screen by i3logix,CO,8031,Denver,Information Technology,Private CI Entity,Region 8
70,"electroCore, Inc.",NJ,Morris County,Rockaway,Healthcare and Public Health,Private CI Entity,Region 2
65,egnite Inc,CA,Orange County,Aliso Viejo,Healthcare and Public Health,Private CI Entity,Region 9
80,"eBlu Solutions, LLC",KY,Jefferson County,Louisville,Healthcare and Public Health,Private CI Entity,Region 4
24,dataCon Inc.,MA,Middlesex County,Chelmsford,Defense Industrial Base,Private CI Entity,Region 1
70,Zurich North America,IL,Cook County,Schaumburg,Financial Services,Private CI Entity,Region 5
36,Zoological Society of San Diego d/b/a San Diego Zoo Wildlife Alliance,CA,San Diego County,San Diego,,Private CI Entity,Region 9
65,"ZocDoc, Inc.",NY,New York County,New York,Information Technology,Private CI Entity,Region 2
68,Zion-Benton Public Library District,IL,Lake County,Zion,Government Facilities,Local Tribal Territory,Region 5
61,Zion Elementary School District 6,IL,Lake County,Zion,Government Facilities,Local Tribal Territory,Region 5
44,"Zilwaukee Township Election Commission, Saginaw, MI",MI,Saginaw County,Saginaw,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
44,"Zilwaukee Township Clerk, Saginaw, MI",MI,Saginaw County,Saginaw,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
75,Ziegler CAT,MN,Hennepin County,Minneapolis,Critical Manufacturing,Private CI Entity,Region 5
66,"Ziebach County Auditor, Ziebach, SD",SD,Ziebach County,Dupree,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 8
63,Zetec Inc,WA,King County,Snoqualmie,Critical Manufacturing,Private CI Entity,Region 10
90,Zepher Inc,WA,Klickitat County,Cook,Critical Manufacturing,Private CI Entity,Region 10
71,"Zeeland Charter Township Election Commission, Ottawa, MI",MI,Ottawa County,Zeeland Charter Township,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
71,"Zeeland Charter Township Clerk, Ottawa, MI",MI,Ottawa County,Zeeland Charter Township,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
39,"Zebra Capital Management, LLC",CT,Fairfield County,Stamford,Financial Services,Private CI Entity,Region 1
54,"Zavala County, Texas",TX,Zavala County,Crystal City,"Emergency Services, Government Facilities",Local Tribal Territory,Region 6
55,"Zavala County Tax Assessor-Collector, Zavala, TX",TX,Zavala County,Crystal City,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
55,"Zavala County County Clerk, Zavala, TX",TX,Zavala County,Crystal City,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
51,"Zasio Enterprises, Inc.",ID,Ada County,Boise,Information Technology,Private CI Entity,Region 10
96,"Zapata County Tax Assessor-Collector, Zapata, TX",TX,Zapata County,Zapata,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
96,"Zapata County County Clerk, Zapata, TX",TX,Zapata County,Zapata,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
52,ZR Systems Group LLC,HI,Honolulu County,Aiea,Information Technology,Private CI Entity,Region 9
61,ZOLLER Inc.,MI,Washtenaw County,Ann Arbor,Critical Manufacturing,Private CI Entity,Region 5
53,ZOLL Medical,CO,8014,Broomfield,Healthcare and Public Health,Private CI Entity,Region 8
50,"Yuma County Recorder, Yuma, AZ",AZ,Yuma County,Yuma,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 9
50,"Yuma County Elections Director, Yuma, AZ",AZ,Yuma County,Yuma,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 9
5,"Yuma County Clerk and Recorder, Yuma, CO",CO,Yuma County,Wray,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 8
50,Yuma County Arizona,AZ,Yuma County,Yuma,"Emergency Services, Government Facilities, Transportation Systems, Water and WasteWater Systems",Local Tribal Territory,Region 9
35,Yucaipa Valley Water District,CA,6071,Yucaipa,Water and WasteWater Systems,Local Tribal Territory,Region 9
57,"Yuba Village Clerk, Richland, WI",WI,Richland County,Hillsboro,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
68,"Yuba County Clerk-Recorder, Yuba, CA",CA,Yuba County,Marysville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 9
89,"Ypsilanti Charter Township Election Commission, Washtenaw, MI",MI,Washtenaw County,Ypsilanti,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
89,"Ypsilanti Charter Township Clerk, Washtenaw, MI",MI,Washtenaw County,Ypsilanti,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
35,Youth Opportunity Center,IN,Delaware County,Muncie,,Private CI Entity,Region 5
73,"Young County Elections Administrator, Young, TX",TX,Young County,Graham,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 6
48,Yorktown Central School District,NY,Westchester County,Yorktown Heights,Government Facilities,Local Tribal Territory,Region 2
52,"York Town Clerk, Green, WI",WI,Green County,Blanchardville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
68,"York Town Clerk, Dane, WI",WI,Dane County,Marshall,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
82,"York Town Clerk, Clark, WI",WI,Clark County,Neillsville,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 5
50,"York Suburban School District, PA",PA,York County,York,Government Facilities,Local Tribal Territory,Region 3
60,"York Municipal Registrar, York, ME",ME,York County,York,"Election Infrastructure, Government Facilities",Local Tribal Territory,Region 1
