Rating,Entity Name,State,County,City,Sector,Entity Type,Region
50,United States Interagency Council on Homelessness (USICH),DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
55,United States Agency for International Development (USAID) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
60,United States Access Board (USAB) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
39,USDOT - Volpe National Transportation Systems Center - CISA,MA,Middlesex County,Cambridge,"Government Facilities, Transportation Systems",FCEB,Region 1
68,USDOT - United States Merchant Marine Academy (USMMA) - CISA,NY,Nassau County,Great Neck,"Government Facilities, Transportation Systems",FCEB,Region 2
66,USDOT - U.S. Department of Transportation Office of the Secretary (OST) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
62,USDOT - Pipeline and Hazardous Materials Safety Administration (PHMSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
82,USDOT - Office of Inspector General (OIG) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
70,USDOT - National Highway Traffic Safety Administration (NHTSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
69,USDOT - Maritime Administration (MARAD) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
97,USDOT - Great Lakes St. Lawrence Seaway Development Corporation (GLS) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
74,USDOT - Federal Transit Administration (FTA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
53,USDOT - Federal Railroad Administration (FRA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
54,USDOT - Federal Motor Carrier Safety Administration (FMCSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
65,USDOT - Federal Highway Administration (FHWA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
62,USDOT - Federal Aviation Administration (FAA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
63,USDOT - Department of Transportation (DOT) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
53,USDOS - U.S. Embassy and Consulates - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
56,USDOS - State Department (DOS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
54,USDOE - Power Marketing Administration (PMA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
44,USDOE - Office of Science (SC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
72,USDOE - Office of Nuclear Energy (NE) - CISA,DC,District of Columbia,Washington,"Government Facilities, Nuclear Reactors Materials and Water",FCEB,Region 3
74,USDOE - Office of Fossil Energy and Carbon Management (FECM) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
18,USDOE - Office of Environmental Management (EM) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
61,USDOE - Office of Energy Efficiency and Renewable Energy (EERE) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
58,USDOE - National Nuclear Security Administration (NNSA) - CISA,DC,District of Columbia,Washington,"Government Facilities, Nuclear Reactors Materials and Water",FCEB,Region 3
46,USDOE - Energy Information Administration (EIA) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
51,USDOE - Energy Department (DOE) - CISA,DC,District of Columbia,Washington,"Chemical, Critical Manufacturing, Energy, Government Facilities, Information Technology, Nuclear Reactors Materials and Water",FCEB,Region 3
57,USDA - United States Forest Service (USFS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
59,USDA - Department of Agriculture (USDA) - CISA,DC,District of Columbia,Washington,"Dams, Energy, Food and Agriculture, Government Facilities, Water and WasteWater Systems",FCEB,Region 3
46,USDA - Animal & Plant Health Inspection Service (APHIS) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
57,USDA - Agricultural Research Service (ARS) - CISA,MD,Prince George,Beltsville,Government Facilities,FCEB,Region 3
56,USAGM - U.S. Agency for Global Media (USAGM) - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities, Information Technology",FCEB,Region 3
61,USAGM - Broadcasting Board of Governors - CISA,DC,District of Columbia,Washington,"Communications, Government Facilities",FCEB,Region 3
74,Trade and Development Agency (USTDA) - CISA,VA,Arlington County,Arlington,Government Facilities,FCEB,Region 3
68,Tennessee Valley Authority (TVA) - CISA,TN,Knox County,Knoxville,"Dams, Energy, Government Facilities, Nuclear Reactors Materials and Water",FCEB,Region 4
62,TREAS - United States Mint - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
79,TREAS - Office of the Comptroller of the Currency (OCC) - CISA,DC,District of Columbia,Washington,Government Facilities,FCEB,Region 3
61,TREAS - Internal Revenue Service (IRS) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
81,TREAS - Financial Stability Oversight Council (FSOC) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
65,TREAS - Department of Treasury (TREAS) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
67,TREAS - Bureau of Engraving and Printing (BEP) - CISA,DC,District of Columbia,Washington,"Financial Services, Government Facilities",FCEB,Region 3
60,Surface Transportation Board (STB) - CISA,DC,District of Columbia,Washington,"Government Facilities, Transportation Systems",FCEB,Region 3
